2196;	6.000
12195;	6.234
22196;	18.563
32194;	4.132
42195;	13.357
53653;	0.411
62196;	9.854
72193;	18.897
84000;	0.603
92196;	10.748
102194;	21.109
112193;	1.969
122196;	14.454
132197;	25.157
142192;	4.735
152193;	15.640
162194;	26.300
172193;	6.218
182193;	17.319
192193;	27.423
203598;	1.413
212192;	12.893
222194;	23.772
234078;	1.365
242193;	10.843
252192;	22.659
262193;	8.282
272194;	20.407
282194;	8.184
292193;	18.826
302192;	7.697
312194;	9.881
322193;	11.465
332192;	12.744
342193;	19.371
352193;	29.225
363086;	1.968
372193;	12.770
382194;	23.136
392193;	32.965
402193;	8.541
412194;	18.563
422193;	29.829
434134;	2.980
442193;	12.030
452194;	21.355
462193;	32.461
475299;	3.440
482192;	12.114
492192;	23.706
502193;	4.351
512193;	14.076
522194;	23.145
532192;	33.604
542194;	7.826
552193;	19.082
562193;	29.440
572193;	9.970
582192;	22.115
592193;	10.123
602194;	21.734
612193;	28.312
622193;	35.969
632194;	5.936
642193;	14.026
652194;	21.371
662193;	28.809
672194;	36.072
682193;	43.404
692194;	51.964
702193;	60.640
712193;	10.147
722414;	6.969
732193;	16.190
742193;	24.968
752193;	34.336
762193;	44.294
772194;	53.292
785461;	7.591
792193;	14.472
802193;	23.593
812193;	31.758
822194;	40.403
832200;	49.459
842193;	58.026
854783;	11.823
862198;	19.270
872193;	13.812
882192;	23.775
892194;	34.538
902193;	44.867
921356;	9.868
922192;	11.153
932192;	21.451
942195;	31.278
952193;	40.827
962193;	49.777
972192;	58.593
987769;	10.330
992192;	15.047
1002192;	25.002
1012192;	34.471
1022193;	43.765
1032192;	53.470
1042204;	62.427
1052192;	11.750
1062192;	20.973
1072193;	31.045
1082192;	40.695
1092193;	49.665
1102192;	58.915
1114906;	11.129
1122192;	18.242
1132192;	27.609
1142193;	36.869
1152192;	46.542
1162193;	54.831
1172193;	63.615
1182193;	14.122
1192192;	23.438
1202193;	32.068
1212192;	41.103
1222193;	50.263
1232192;	59.779
1244065;	14.086
1252193;	14.086
1262192;	23.421
1272194;	33.210
1282232;	42.575
1292194;	51.599
1302192;	61.128
1314707;	14.639
1327138;	12.516
1332192;	17.862
1342192;	29.046
1352194;	38.486
1362192;	47.635
1372192;	57.078
1384542;	13.037
1392192;	21.874
1402192;	32.361
1412194;	42.251
1422192;	51.518
1435969;	13.737
1442192;	20.587
1452192;	30.493
1462192;	40.051
1472192;	50.537
1487527;	14.155
1492192;	20.302
1502192;	31.544
1512192;	41.196
1527433;	14.918
1532193;	20.930
1542192;	31.675
1552195;	43.232
1567120;	15.066
1572192;	20.372
1582192;	31.910
1592192;	42.868
1605091;	15.374
1612196;	23.508
1622193;	34.262
1632195;	44.230
1642192;	54.164
1654651;	15.890
1662192;	23.389
1672195;	34.894
1682192;	44.816
1692193;	54.425
1702193;	17.310
1712192;	29.528
1722192;	40.207
1739039;	16.038
1742192;	21.119
1752193;	34.713
1762194;	44.954
1772193;	18.918
1782197;	30.386
1792192;	42.247
1802539;	16.972
1812192;	29.433
1822200;	39.450
1832193;	49.564
1843984;	16.806
1852192;	28.543
1862192;	36.628
1872193;	45.687
1882195;	53.850
1916950;	17.004
1916950;	17.183
1916950;	17.183
1922193;	23.921
1932192;	33.382
1942193;	40.978
1952192;	49.046
1962193;	56.655
1984499;	18.762
1984499;	18.795
1992192;	25.867
2002192;	33.819
2012193;	41.849
2022193;	50.979
2032193;	60.401
2042192;	70.422
2052915;	21.691
2062193;	21.265
2072193;	31.293
2082192;	40.837
2092193;	50.264
2106317;	19.484
2112193;	28.768
2122192;	37.565
2132192;	46.739
2145135;	19.916
2152192;	30.067
2162192;	39.911
2172192;	48.937
2182192;	58.296
2197015;	20.157
2202193;	25.946
2212192;	36.767
2222196;	47.116
2232192;	58.180
2249826;	20.233
2252192;	24.741
2262192;	36.595
2272197;	45.775
2292274;	20.789
2292275;	20.839
2302192;	30.715
2312193;	39.291
2322193;	47.916
2332193;	55.929
2342192;	64.946
2352193;	74.208
2368963;	21.328
2372192;	24.982
2382193;	34.868
2392193;	44.732
2402192;	54.238
2412193;	62.292
2422193;	72.104
2433185;	21.867
2442192;	30.561
2452193;	40.063
2462192;	50.001
2472193;	59.375
2494365;	21.712
2494365;	21.712
2502192;	32.071
2512192;	41.845
2522193;	51.958
2540110;	22.053
2542192;	24.423
2552194;	32.035
2562194;	41.075
2572195;	50.958
2582192;	60.617
2592193;	70.837
2605240;	25.634
2618525;	23.335
2622192;	27.911
2632192;	40.829
2650127;	22.803
2652192;	27.338
2662192;	40.097
2672193;	49.306
2682192;	58.272
2704489;	23.833
2704489;	23.931
2712192;	31.380
2722193;	41.302
2732193;	50.424
2742192;	60.344
2762301;	23.429
2762301;	23.430
2772192;	35.394
2782193;	46.174
2792193;	54.584
2810049;	23.014
2812192;	25.307
2822192;	34.796
2832194;	46.132
2842192;	57.041
2852192;	66.829
2874570;	23.301
2874571;	23.352
2882192;	32.606
2892194;	43.894
2902192;	53.888
2922336;	23.027
2922336;	23.075
2932192;	36.190
2942192;	47.299
2952194;	56.341
2971130;	23.118
2972192;	24.402
2982192;	34.889
2992193;	46.008
3010087;	23.044
3012193;	25.315
3022192;	36.580
3032192;	47.630
3042324;	55.853
3061613;	22.951
3062192;	24.091
3072192;	37.643
3082192;	47.278
3105319;	22.956
3105319;	22.989
3112192;	30.176
3122193;	38.941
3132192;	47.996
3142197;	56.661
3152193;	64.671
3162193;	72.488
3179260;	23.119
3182192;	26.509
3192192;	36.284
3202196;	45.780
3212192;	54.830
3222192;	64.881
3232193;	73.651
3246488;	23.314
3252192;	29.210
3262193;	38.967
3272192;	48.439
3282192;	57.746
3292193;	66.520
3314914;	23.482
3314914;	23.498
3322192;	31.068
3332192;	42.083
3342193;	52.120
3362233;	23.120
3362233;	23.153
3372192;	33.451
3382192;	43.011
3392193;	53.413
3402192;	62.608
3419654;	23.327
3422192;	25.952
3432193;	34.830
3442192;	44.022
3452193;	54.185
3462193;	62.378
3472193;	70.069
3492588;	23.437
3492588;	23.455
3502192;	32.893
3512192;	41.957
3522193;	50.647
3532192;	59.558
3542193;	67.956
3552197;	75.783
3564580;	25.222
3577031;	23.587
3582192;	28.587
3592192;	43.322
3602194;	26.932
3612192;	39.286
3622193;	48.379
3632192;	57.824
3651872;	23.374
3652192;	24.534
3662192;	34.105
3672193;	45.617
3682192;	54.895
3699730;	23.469
3702192;	27.259
3712192;	39.974
3722192;	51.101
3734588;	23.496
3742192;	34.147
3752195;	45.004
3762192;	54.474
3774429;	23.291
3782192;	31.672
3792192;	43.615
3802193;	53.572
3815398;	21.814
3822193;	30.921
3832192;	43.119
3847603;	20.924
3852192;	29.224
3862192;	39.925
3880960;	18.644
3882192;	21.793
3892192;	37.312
3902192;	20.026
3912194;	35.505
3923902;	17.176
3932192;	29.290
3942193;	38.710
3952193;	47.027
3968357;	17.401
3972192;	21.486
