2833	0
5138	0
6170	0
9170	0
12170	0
14199	0
17199	355
20199	84
23200	297
26199	136
29199	164
32199	85
35200	236
38199	331
41199	122
44199	21
47199	512
50199	50
53199	0
56199	0
67413	0
70413	229
73414	328
76413	42
79413	36
82413	348
85415	35
88413	0
91413	24
94413	96
97413	89
100413	533
103413	202
106413	230
109413	1522
112413	1609
115413	1499
118413	1145
121413	970
124413	684
127413	986
130413	765
133413	1758
136414	1560
139413	1086
142413	1160
145413	844
148415	791
151413	813
154414	1047
157413	1240
160517	966
163413	627
166413	1195
169413	682
172413	702
175413	536
178413	318
181414	568
184413	924
187413	1032
190413	1110
193413	720
196413	476
199413	940
202413	521
205644	434
208413	376
211413	291
214413	382
217413	182
220413	508
223413	104
226413	141
229413	433
232413	241
235413	317
238414	509
241413	760
244413	854
247413	1004
250413	794
253413	1285
256418	1111
259413	2062
262413	2095
265413	1629
268415	1755
271413	1916
274413	1699
277414	1608
280413	1460
283413	1227
286413	1497
289414	1059
292413	1311
295413	1221
298413	1058
301413	771
304413	714
308292	905
310413	733
313413	1468
316413	1333
319413	979
322413	640
325413	1356
328413	950
331414	1260
334413	805
337413	706
340413	1717
343414	1510
346413	1072
349413	1378
352413	1077
355413	1092
358434	730
361413	699
364413	664
367413	344
370413	1015
373413	794
376413	434
379413	493
382413	461
385413	448
388413	358
391413	1271
394414	968
397413	542
400413	630
403413	377
406413	916
409413	473
412476	201
415413	316
418413	922
421413	493
424413	955
427413	647
430413	613
433413	799
436414	339
439413	177
442413	926
445413	297
448413	259
451413	496
454414	1030
457414	941
460413	1089
463413	1111
466413	1097
469573	1523
472413	1788
475413	1289
478413	889
481413	575
484413	509
487413	1575
490414	1328
493413	887
496413	952
499413	1197
502413	826
505413	683
508413	838
511413	809
514413	696
517413	602
520413	439
523413	641
526413	513
529413	321
532413	319
535413	930
538413	563
541413	691
544413	862
547413	485
550413	83
553413	240
556414	182
559413	155
562413	343
565413	308
568413	319
571413	1243
574413	1153
577413	1815
580413	1491
583413	1092
588046	1143
589413	867
592413	1341
595414	898
598413	786
601413	455
604413	114
607413	774
610413	603
613413	457
616413	355
619413	19
622413	91
625413	0
628413	0
631413	0
634413	0
637413	0
640413	0
643413	0
646413	0
903589	0
906588	275
909588	243
912589	267
915588	141
918588	365
921588	126
