1177066; 78655
1180066; 78623
1183066; 78600
1186070; 78576
1189070; 78547
1192066; 78510
1195070; 78486
1198066; 78458
1201066; 78432
1204070; 78409
1207070; 78374
1210070; 78346
1213066; 78318
1216066; 78292
1219066; 78268
1222066; 78240
1225066; 78206
1228066; 78179
1231066; 78154
1234066; 78121
1237066; 78095
1240070; 78067
1243066; 78044
1246066; 78018
1249066; 77994
1252070; 77960
1255070; 77938
1258066; 77910
1261066; 77887
1264066; 77863
1267066; 77836
1270066; 77807
1273066; 77783
1276066; 77753
1279066; 77725
1282066; 77699
1285066; 77674
1288066; 77647
1291066; 77626
1294066; 77597
1297066; 77573
1300066; 77546
1303070; 77523
1306066; 77497
1309070; 77468
1312066; 77446
1315066; 77413
1318066; 77390
1321066; 77342
1324066; 77318
1327066; 77291
1330066; 77254
1333065; 77230
1336066; 77207
1339066; 77178
1342066; 77149
1345066; 77123
1348066; 77086
1351066; 77056
1354066; 77028
1357066; 76992
1360066; 76963
1363066; 76931
1366066; 76902
1369066; 76870
1372066; 76844
1375070; 76814
1378066; 76783
1381070; 76751
1384070; 76718
1387066; 76687
1390065; 76658
1393066; 76630
1396066; 76601
1399070; 76574
1402070; 76542
1405070; 76513
1408076; 76481
1411066; 76449
1414065; 76417
1417070; 76373
1420066; 76335
1423065; 76301
1426070; 76272
1429070; 76241
1432066; 76210
1435222; 76176
1438066; 76156
1441066; 76149
1444066; 76130
1448019; 76112
1450066; 76094
1453084; 76085
1456066; 76064
1459070; 76042
1462070; 76018
1465070; 75997
1468066; 75970
1471066; 75946
1474066; 75916
1477226; 75901
1480066; 75882
1483070; 75863
1486066; 75841
1489066; 75824
1492066; 75805
1495066; 75788
1498070; 75772
1501066; 75729
1504226; 75709
1507066; 75691
1510066; 75667
1513070; 75643
1516070; 75612
1519066; 75586
1522066; 75569
1525066; 75556
1528066; 75537
1531066; 75518
1534066; 75501
1537066; 75482
1540066; 75460
1543066; 75439
1546077; 75425
1549066; 75410
1552066; 75392
1555066; 75367
1558070; 75350
1561066; 75334
1564066; 75317
1567066; 75298
1570066; 75277
1573066; 75254
1576065; 75228
1579070; 75213
1582066; 75188
1585066; 75165
1588066; 75147
1591144; 75130
1594066; 75107
1597066; 75086
1600444; 75062
1603286; 75050
1606141; 75036
1609066; 75010
1612070; 74990
1615066; 74965
1618070; 74910
1621066; 74889
1624066; 74868
1627070; 74839
1630070; 74804
1633066; 74780
1636066; 74752
1639066; 74717
1642066; 74695
1645066; 74672
1648066; 74645
1651066; 74624
1654070; 74588
1657066; 74565
1660066; 74535
1663066; 74509
1666066; 74478
1669070; 74456
1672066; 74424
1675066; 74401
1678070; 74374
1681066; 74348
1684066; 74321
1687066; 74292
1690066; 74246
1693066; 74222
1696070; 74196
1699066; 74167
1702070; 74140
1705066; 74106
1708066; 74079
1711070; 74046
1714066; 74012
1717066; 73992
1720070; 73979
1723070; 73961
1726066; 73933
